id,book_id,title,describe_title,author,describe_detail,price,price_pure_number,ori_price,ori_price_pure_number,discount,publishing_date,publishing_company,star,comment_num,url,image_url
10,p25167007,和秋叶一起学Word Excel PPT(套装共3册）,和秋叶一起学Word Excel PPT(套装共3册）让秋叶PPT带你学办公软件 学PowerPoint幻灯片学excel数据处理与分析学word文档制作 现代商务办公从新手到高手教程书籍 赠数百套模板和文件 还有技术分享和秋叶原创作品等资源 获取见书签,秋叶 PPT,秋叶Office套装包含了秋叶团队出品的三本图书： 《和秋叶一起学PPT（第3版）》 《和秋叶一起学Excel》 《和秋叶一起学Word（2版）》 为购买这套书的读者，我们特意准备了超级资源大礼包： 200套微软OfficePlus官方出品Word/Excel/PPT办公模板 220份秋叶团队出品的精美读书笔记PPT 88期秋叶PPT社群内部分享稿 300元网易云课堂秋叶系列课程专用优惠券 1800个Excel典型表格模板 2000个Word精选文档模板 Office 2016快捷键查询手册 Word/Excel/PPT 2016技巧手册 Excel函数查询手册 Windows 10操作系统安装教学录像 Office 2016软件安装教学录像 购买套装后，请联系秋叶团队客服QQ（800158890）领取。 对于接触这套丛书的读者， 如果你是： 被老师要求课程设计撰写论文的大学生 刚毕业不久想早日脱颖而出的职场新人 正经历中年危机希望重新开始的跳槽者 想用,¥184.20,184.20,¥267.00,267.00,6.9, 2017-09-01,  人民邮电出版社,9.0,4879,http://product.dangdang.com/25167007.html,images/model/guan/url_none.png
11,p22783504,C++ Primer Plus(第6版)中文版(畅销30年C++必读经典教程全新升级，蔡学镛、孟岩、高博倾力推荐),C++ Primer Plus(第6版)中文版(畅销30年C++必读经典教程全新升级，蔡学镛、孟岩、高博倾力推荐)畅销20余年的C++编程入门教程 近百万程序员的C++编程启蒙教程 技术大牛案头常备的工具书 针对C++11标准库更新 蔡学镛 孟岩 高博倾力推荐,[美]Stephen Prata 著,一本经久不衰的C 畅销经典教程；首本支持C 11新标准的程序设计图书。 它被誉为 开发人员学习C 的必备教程，没有之一 ！ Amazon网站 Language 类销售排名第三的超级畅销书，之前版本在美国销售超10万！ 《C Primer Plus(第6版)中文版》可以说是一本面向从未学习过C语言甚至是从未学习过编程的人的入门书籍，它的首章从基础内容讲起，先介绍了传统编程的规则，后面才着重讲解有关面向对象 C 的精髓之一 的有关内容。整个书的结构安排较为合理，难度爬升较慢。 如果你是一个从未学过C语言（或者压根没学会C）的读者，那么，我相信这本书更适合你。,¥66.40,66.40,¥99.00,99.00,6.71, 2012-07-01,  人民邮电出版社,9.0,34753,http://product.dangdang.com/22783504.html,images/model/guan/url_none.png
12,p25276414,码农翻身（好玩有趣的编程知识）,码农翻身（好玩有趣的编程知识）用故事给技术加点料，全网阅读量近1000万次的技术故事，讲解Python、Java编程思想、JavaScript、架构、代码管理等，帮你理解技术起源和本质。《Java开发手册》作者孤尽等专家推荐。,刘欣（@码农翻身）,把计算机元素和行为用拟人手法编成一个个精彩纷呈的故事，绘声绘色且深入浅出地演绎晦涩枯燥的编程知识。 编程初学者可以津津有味地学习，老手也能饶有兴致地查漏补缺。 从前端到后端，从原理到编程，脉络清晰，体系完整。,¥47.60,47.60,¥69.00,69.00,6.9, 2018-05-01,  电子工业出版社,9.0,3647,http://product.dangdang.com/25276414.html,images/model/guan/url_none.png
13,p23961748,Python核心编程 第3版,Python核心编程 第3版畅销经典的Python基础教程学习手册进阶图书 兼顾Python2和Python3 机器学习 数据处理 网络爬虫热门编程语言 Python开发人员的案头常备,[美]卫斯理 春（Wesley Chun）,全面涵盖当今应用开发中的众多领域为中级Python开发人员提供杰出实践方法涵盖大量实用的代码案例每章末尾的习题有助于巩固所学知识 想进一步提升Python编程水平？请深入分析真实应用程序中使用的大量相关主题涵盖了正则表达式、Internet/网络编程、GUI、SQL/数据库/ORM、多线程、Web开发了解当前的开发区域，比如Google 、Twitter、MongoDB、OAuth、Python 3迁移、Java/Jython囊括有关Django、Google App Engine、CSV/JSON/XML和Microsoft Office的全新内容。包含Python 2和Python 3代码，以便立即可以使用提供了代码片段、互动案例和实用练习，旨在巩固Python技能 Python是一种灵活、可靠且具有表现力的编程语言，它将编译语言的强大与脚本语言的简洁性、快速开发特性整合起来。在《 Python核心编程 第3版 》中，杰出Python开发人员兼企业培训师Wesley Chun会帮助您将Python技能提升到更高的水平。《 P,¥68.30,68.30,¥99.00,99.00,6.9, 2016-05-01,  人民邮电出版社,9.0,14048,http://product.dangdang.com/23961748.html,images/model/guan/url_none.png
14,p23368089,利用Python进行数据分析,利用Python进行数据分析大量实践案例教会你如何利用Python库高效解决各式各样的数据分析问题,（美）麦金尼 著，唐学韬 等译,,¥61.40,61.40,¥89.00,89.00,6.9, 2014-01-01,  机械工业出版社,9.0,18096,http://product.dangdang.com/23368089.html,images/model/guan/url_none.png
15,p25262423,未来教育2018年9月计算机二级ms office高级应用上机题库 全国计算机等级考试二级MS office考试题库国,"未来教育2018年9月计算机二级ms office高级应用上机题库 全国计算机等级考试二级MS office考试题库国新增考试真题+全新真考题库+模拟软件+手机题库+电子书+视频解析等实用备考资源, 一学就会、衔接考试、考前冲刺，过关练习",未来教育教学与研究中心,,¥23.80,23.80,¥37.80,37.80,6.3, 2014-03-01,  电子科技大学出版社,8.0,2081,http://product.dangdang.com/25262423.html,images/model/guan/url_none.png
16,p22880871,算法（第4版）【Sedgewick之巨著，与高德纳TAOCP一脉相承】,算法（第4版）【Sedgewick之巨著，与高德纳TAOCP一脉相承】【图灵程序设计丛书】算法领域的经典参考书 众多图例实现图解算法和算法导论 基于Java语言实现算法和数据结构 熟练掌握算法设计与分析,[美]Robert Sedgewick Kevin Wayne 著,Sedgewick之巨著，与高德纳TAOCP一脉相承 几十年多次修订，经久不衰的畅销书 涵盖所有程序员必须掌握的50种算法,¥68.30,68.30,¥99.00,99.00,6.9, 2012-10-01,  人民邮电出版社,9.0,14382,http://product.dangdang.com/22880871.html,images/model/guan/url_none.png
17,p25249602,Python 3网络爬虫开发实战,Python 3网络爬虫开发实战【图灵原创】博客文章访问量过百万的博主倾力打造，教你学会如何用Python 3开发爬虫,崔庆才,案例丰富，注重实战 博客文章过百万的静觅大神力作 全面介绍了数据采集、数据存储、动态网站爬取、App爬取、验证码破解、模拟登录、代理使用、爬虫框架、分布式爬取等知识 涉及的库或工具：urllib、requests、Beautiful Soup、XPath、pyquery、redis-py、PyMongo、PyMySQL、Selenium、Splash、Charles、mitmproxy、mitmdump、Appium、pyspider、Scrapy、Scrapy-Redis、Scrapy-Splash、Docker、Bloom Filter、Gerapy等,¥68.30,68.30,¥99.00,99.00,6.9, 2018-04-01,  人民邮电出版社,10.0,2477,http://product.dangdang.com/25249602.html,images/model/guan/url_none.png
18,p24057549,PPT设计思维：教你又好又快搞定幻灯片（全彩）,PPT设计思维：教你又好又快搞定幻灯片（全彩）被388596人收藏的“旁门左道”PPT设计经验 拒绝炫耀技巧，只求又好又快地搞定幻灯片,邵云蛟（@旁门左道）,,¥40.70,40.70,¥59.00,59.00,6.9, 2016-10-01,  电子工业出版社,9.0,24352,http://product.dangdang.com/24057549.html,images/model/guan/url_none.png
19,p21021603,番茄工作法图解：简单易行的时间管理方法(流行的时间管理方法),番茄工作法图解：简单易行的时间管理方法(流行的时间管理方法)时间管理书籍 番茄钟 告别拖延症 高效的时间管理工具 充分利用你的24小时 教你用思维导图管理自我 告别拖延症 搞定无压工作的艺术 打造属于自己的小强升职记,[瑞典]史蒂夫・诺特伯格（Staffan N・teberg） 著,番茄工作法发明人弗朗西斯科 西里洛作序推荐！ 一本能改变你生活的书！ 番茄工作法是一套简单的工具和流程，用以提升你个人和所在团队的生产力，从而做到： 减轻时间焦虑 提升集中力和注意力，减少中断 增强决策意识 唤醒激励和持久激励 巩固达成目标的决心 完善预估流程，保质保量 改进工作学习流程 强化决断力，快刀斩乱麻,¥18.10,18.10,¥29.00,29.00,6.25, 2011-02-01,  人民邮电出版社,9.0,69113,http://product.dangdang.com/21021603.html,images/model/guan/url_none.png
20,p25224111,TensorFlow：实战Google深度学习框架（第2版）,TensorFlow：实战Google深度学习框架（第2版）领域旗舰重磅升级 新老谷歌专家联袂 首度全面支持1.4.x代码 大量增补新版独有核心功能|专题,郑泽宇,前谷歌专家、现Tensorflow创业新贵，新版力邀现谷歌专家加盟，共话新版核心技术与前沿案例。 本书前版作为业界首著伴随Tensorflow火遍全球，旨在面向生产|商业场景，彻底贯通原理|实践。 深入原理|走访主创|结合真实项目，AI、ML团队争相赞誉力荐，与Tensorflow一道成为事实标准。 代码全面升级为1.4 版，重点关注新版功能，增设专题论述TF高层封装和深度学习自然语言应用。,¥61.40,61.40,¥89.00,89.00,6.9, 2018-01-01,  电子工业出版社,9.0,3644,http://product.dangdang.com/25224111.html,images/model/guan/url_none.png
21,p23214590,高性能MySQL（第3版）,高性能MySQL（第3版）领域排头 畅行全球 天团献译 从业必收,"(美)施瓦茨,(美)扎伊采夫,(美)特卡琴科",只要你不敢以MySQL专家自诩，又岂敢错过这本神书？ 一言以蔽之，写得好，编排得好，需要参考时容易到爆！ 我可是从头到尾看了一遍上一版，可还是毫不犹豫拿起了这本《高性能MySQL（第3版）》，而且看完后一点都不后悔 ◎ 学习MySQL新特性，包括存储引擎、分区数据库、触发器和视图 ◎ 实现复制的改进、高可用和集群◎ 获得在云端运行MySQL的高性能 ◎ 优化高级查询特性，如全文索引 ◎ 从现代的多核CPU和固态硬盘中获益 ◎ 探索备份和恢复的策略，包括*的在线备份工具,¥88.30,88.30,¥128.00,128.00,6.9, 2013-05-01,  电子工业出版社,9.0,9891,http://product.dangdang.com/23214590.html,images/model/guan/url_none.png
22,p25286312,笨办法学Python 3,笨办法学Python 3经典畅销Python入门教程升级版 Python3编程从入门到实践教程 手机扫码看5个小时配套视频 跟着数百万人的Python导师学Python编程入门基础教程 代码基于Python3.6,[美]泽德 A. 肖（Zed A. Shaw）,知乎、CSDN等各大论坛技术大牛推荐的Python自学入门畅销书《笨办法学Python》重磅升级，所有案例均基于Python3.6编写。 免费提供长达5个小时的配套教学视频，用手机扫码在线观看视频，更方便。 Zed A. Shaw创建了一套非常有效的Python 3学习体系，只要跟着学，你就会像Zed教过的数百万初学者一样获得成功！只要你能自律、投入和坚持！ 在本书中，你将通过完成52个精心设计的习题来学会Python语言。阅读这些习题，照着录入代码（不要复制和粘贴！），修正自己的错误，观察程序的运行。在这个过程中，你将学会计算机的工作原理，知道怎样的程序才算是好程序，以及如何读、写和思考代码。作者还提供了5个多小时的视频，教你如何破坏、修正和调试代码，整个过程就像一边做题一边直播一样。一开始会很难，但很快你就会上手，并且会感觉很棒！ 本书适合以下人群阅,¥40.70,40.70,¥59.00,59.00,6.9, 2018-06-01,  人民邮电出版社,10.0,748,http://product.dangdang.com/25286312.html,images/model/guan/url_none.png
23,p24042210,Java从入门到精通（第4版）（附光盘）,"Java从入门到精通（第4版）（附光盘）畅销书全新改版 累计63次重印 30万读者选择的 java入门经典书 持续八年畅销 全行业优秀畅销书 长期位居java 销售排行榜前列 好学、好用 32小时视频 732个经典实例 369项,",明日科技,随书附赠小白手册（电子版） 下载链接 http://pan.baidu.com/s/1mhLe8GS 软件开发视频大讲堂 丛书系清华社 视频大讲堂 重点大系之一。该大系包括多个子系列，每个子系列的图书在其同品种的图书中销售名列前茅，其中： 4个品种荣获 全行业优秀畅销品种 1个品种荣获2012年清华大学出版社 专业畅销书 一等奖 绝大多数品种在 全国计算机零售图书排行榜 同品种排行中名列前茅 截至目前该大系累计销售超过130万册 该大系已成为近年来清华社计算机专业基础类零售图书*畅销的品牌之一 软件开发视频大讲堂 系列作为清华社 视频大讲堂 大系的子系列之一，继承和创新了清华社 视频大讲堂 大系的编写模式、写作风格和优良品质。本书突出了以下内容： 总长总时长32小时同步视频演示讲解，可反复观摩，让学习更为快捷,¥48.00,48.00,¥69.60,69.60,6.9, 2016-09-21,  清华大学出版社,8.0,17274,http://product.dangdang.com/24042210.html,images/model/guan/url_none.png
24,p23997502,Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）,Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）Python3编程从入门到实践美亚畅销Python编程入门图书 Python3实战指南 带你快速实现Python高效编程,[美] Al Sweigart 斯维加特,"亚马逊畅销Python编程图书，帮助你通过编程快速实现工作自动化在本书中，你将学习利用Python 编程，在几分钟内完成手工需要几小时的工作，而事先却无需具备编程经验。一旦掌握了编程的基础知识，你就可以毫不费力地创建Python 程序，完成高效的自动化工作，包括：● 在一个文件或多个文件中搜索文本；● 创建、更新、移动和重命名文件和文件夹；● 搜索网页和下载的在线内容；● 在任意大小的Excel电子表格中更新和格式化数据；● 拆分、合并PDF文件，以及如何加水印和加密；● 发送提醒邮件和文本通知；● 填写在线表格。本书的作者Al Sweigart是一位杰出Python程序员,他还是《Python 密码学编程》、《Python 游戏编程快速上手》和《Python 和Pygame 游戏开发指南》的作者。",¥47.60,47.60,¥69.00,69.00,6.9, 2016-06-01,  人民邮电出版社,9.0,10213,http://product.dangdang.com/23997502.html,images/model/guan/url_none.png
25,p23617284,Python编程（第四版）,Python编程（第四版）Python高手进阶宝典，包含大量实用Python编程技巧，涵盖Python编程的方方面面，涵盖Python 3.X，是Python领域经典的开发指南。,Mark Lutz,重磅推荐： Python袖珍指南（第五版） 本书是 Python 应用的手册指南，它涵盖了 Python 编程的方方面面，从系统管理到图形界面编程，从文本处理到网络编程，从数据库到语言扩展 这些主题的探讨中，作者提供了大量的实际代码，通过对这些代码的研读，对读者的 Python 编程水平以及实际业务问题的解决都将不无裨益。,¥136.60,136.60,¥198.00,198.00,6.9, 2014-12-01,  中国电力出版社,9.0,4696,http://product.dangdang.com/23617284.html,images/model/guan/url_none.png
26,p25218035,Python基础教程（第3版）,Python基础教程（第3版）【图灵程序设计丛书】Python3.5编程从入门到实践 Python入门佳作 机器学习 人工智能 数据处理 网络爬虫热门编程语言 累计销售20万册,[挪]芒努斯・利・海特兰德（Magnus Lie Hetland）,本书是经典的Python入门教程，层次鲜明、结构严谨、内容翔实，特别是后面几章，作者将前面讲述的内容应用到10个引人入胜的项目中，并以模板的形式介绍了项目的开发过程，手把手教授Python编程实践，让读者从项目中领略Python的真正魅力。 本书既适合初学者夯实基础，又能帮助Python程序员提升技能，即使是中高-级Python程序员，也能从书里找到耳目一新的内容。,¥68.30,68.30,¥99.00,99.00,6.9, 2018-02-01,  人民邮电出版社,9.0,5561,http://product.dangdang.com/25218035.html,images/model/guan/url_none.png
27,p25111311,Java EE互联网轻量级框架整合开发― ―SSM框架（Spring MVC+Spring+MyBatis）和Redi,Java EE互联网轻量级框架整合开发― ―SSM框架（Spring MVC+Spring+MyBatis）和RediSSM框架在手，升职加薪我有,杨开振等,涵盖Java EE主流框架技术SSM Redis，快速上手开发 用Spring MVC整合MyBatis框架技术 用Spring整合Redis在Java互联网技术上的应用 通过秒杀、抢红包讲解互联网高并发业务,¥82.10,82.10,¥119.00,119.00,6.9, 2017-07-10,  电子工业出版社,9.0,2518,http://product.dangdang.com/25111311.html,images/model/guan/url_none.png
28,p25107308,和秋叶一起学Excel,和秋叶一起学Excel让秋叶PPT带你学办公软件 学表格数据处理与分析 函数和公式的应用大全 Excel高效现代商务办公效率手册教程从新手到高手 超值赠200套官方模板 88期内部技术分享等海量资源 获取方式见本书前言,秋叶 PPT,对于首次接触这套丛书的读者，我坚信这是你学习Office三件套软件上佳读物。 秋叶PPT团队从2013年全力以赴做Office职场在线教育，已经是国内很有影响力的，截至2016年年底就有超过10万名学员报名和秋叶一起学习Office课程。 我们非常了解大家在学习和使用Office软件过程中的难度和痛点，不仅如此，我们也深刻理解为什么市场上的那么多课程或者图书让读者难以坚持学习下去。 因此我们对写书的要求是 内容新、知识全、阅读易 ，既要体现Office新版本软件的新功能、新用法、新技巧，也要兼顾到工作中会用到但未必经常用到的冷门偏方，更要兼顾到当今读者的阅读习惯，让我们的图书可以系统学习，也方便碎片阅读。 我们给自己提出了极高的挑战，我们希望秋叶系列图书能得到读者的口碑推荐，发自内心的喜欢。 做一套好图书就是打磨一套好产品，我们愿意精,¥68.30,68.30,¥99.00,99.00,6.9, 2017-06-01,  人民邮电出版社,9.0,8063,http://product.dangdang.com/25107308.html,images/model/guan/url_none.png
